iter	Kappa	MultiClass
0	0.09717081209	1.595774007
1	0.1259624854	1.579671078
2	0.1247148217	1.566451812
3	0.1299560977	1.554676173
4	0.1368919551	1.541597314
5	0.1343062898	1.530477062
6	0.1417266414	1.519595938
7	0.1476209137	1.508835667
8	0.1507940628	1.498982201
9	0.1579496014	1.489745672
10	0.1585480089	1.482167791
11	0.1662054955	1.473567719
12	0.1681097389	1.465730916
13	0.1728209638	1.459410289
14	0.1765277226	1.452607564
15	0.1735244749	1.446686444
16	0.1741368599	1.440837878
17	0.1767696398	1.435239615
18	0.1802102716	1.429933523
19	0.1807345709	1.425400133
20	0.1793563342	1.421642139
21	0.1837146955	1.416597898
22	0.1861390059	1.412043794
23	0.1848201169	1.408202262
24	0.1896923165	1.40375928
25	0.1907010032	1.400958667
26	0.1924017579	1.397352883
27	0.1921267935	1.393959137
28	0.1927659754	1.390238935
29	0.1963104005	1.386723868
30	0.1970484817	1.384609704
31	0.1988262184	1.382352682
32	0.1997129533	1.379895624
33	0.2023441332	1.37712697
34	0.2022991651	1.374407313
35	0.2031016384	1.372405978
36	0.2037436179	1.370390821
37	0.2053225104	1.368306895
38	0.2078169988	1.365623371
39	0.2108992339	1.36314847
40	0.2118157768	1.361084012
41	0.2140662707	1.358969192
42	0.2149522752	1.356926403
43	0.2170555871	1.355283522
44	0.2186116262	1.353434839
45	0.2183652081	1.351698063
46	0.2209164132	1.350396751
47	0.2205151894	1.348559149
48	0.2228908003	1.347323217
49	0.2254536155	1.345710603
50	0.2270109885	1.344467727
51	0.228905425	1.34250483
52	0.2289816481	1.340740925
53	0.2293029292	1.339040637
54	0.231514327	1.337548281
55	0.2316086478	1.336430038
56	0.2318429945	1.33536487
57	0.2358188055	1.334029985
58	0.2399326339	1.332217901
59	0.2377946087	1.330964317
60	0.2390152256	1.33007458
61	0.2389899778	1.32949577
62	0.2388583641	1.328292113
63	0.24132258	1.327198527
64	0.2416167081	1.325835537
65	0.242809802	1.324713574
66	0.243610294	1.323399367
67	0.2423948849	1.322260893
68	0.2434620902	1.321599494
69	0.2433441947	1.320711077
70	0.244777295	1.319689584
71	0.24619802	1.318534258
72	0.2482061137	1.317659476
73	0.2500513292	1.316453316
74	0.2502375126	1.315503219
75	0.2522230389	1.314248695
76	0.2535314911	1.313555459
77	0.2529228536	1.312964655
78	0.2543457515	1.311856336
79	0.2568365944	1.310539011
80	0.2598259752	1.309372902
81	0.2582635258	1.308492657
82	0.2596805892	1.307555721
83	0.2604182816	1.306826875
84	0.2624396912	1.305568182
85	0.2622469069	1.304707563
86	0.2630246057	1.303846087
87	0.2627394866	1.302860004
88	0.2639718728	1.30199472
89	0.2648884135	1.300610707
90	0.2650538295	1.29988401
91	0.2681716995	1.299067093
92	0.2684947459	1.298110744
93	0.27159854	1.296977029
94	0.2712176268	1.296193917
95	0.2707212127	1.295292193
96	0.2744870447	1.29435899
97	0.2755330493	1.293814334
98	0.2752301232	1.293136876
99	0.2740035402	1.292514063
100	0.2753042175	1.291693778
101	0.2753954669	1.291246753
102	0.2769006291	1.290131379
103	0.2775451083	1.289067165
104	0.2794879225	1.288130397
105	0.2809505786	1.287356223
106	0.2823488268	1.28641329
107	0.284319063	1.284946659
108	0.2854437729	1.284177134
109	0.2848490466	1.283353339
110	0.2854195426	1.282725643
111	0.2856086264	1.281904137
112	0.288065642	1.280953106
113	0.2892237722	1.280224303
114	0.2908289619	1.279172776
115	0.2913298685	1.278373399
116	0.2909381164	1.278075367
117	0.2923374926	1.277176948
118	0.2934327433	1.276366757
119	0.2925945783	1.275930021
120	0.2933629176	1.275227898
121	0.2954165859	1.274259662
122	0.2965257182	1.273327005
123	0.2993073535	1.272128383
124	0.2995623056	1.271434827
125	0.3006780843	1.270775332
126	0.301468103	1.269835143
127	0.3014815147	1.268797851
128	0.3019414272	1.268021757
129	0.3011547796	1.266793368
130	0.2995197213	1.265872491
131	0.30116339	1.265126327
132	0.3030221303	1.264128859
133	0.3026409073	1.26321707
134	0.304751982	1.262249993
135	0.3047831573	1.26158121
136	0.3067002758	1.260647659
137	0.3075186712	1.260243402
138	0.3088133746	1.259418895
139	0.3119168055	1.258466501
140	0.3136265177	1.257508478
141	0.3147840607	1.256716544
142	0.3152610774	1.255973112
143	0.3159995322	1.255184247
144	0.3167263425	1.254754131
145	0.3154388037	1.253766862
146	0.3159284056	1.253231351
147	0.317541048	1.252855311
148	0.3193121919	1.252450253
149	0.3187223905	1.251803167
150	0.3196318479	1.251157083
151	0.3202276075	1.250434516
152	0.3224526356	1.249622968
153	0.3224940409	1.249192063
154	0.3238379467	1.248425609
155	0.3249299177	1.247546344
156	0.3242405075	1.246867574
157	0.3260125001	1.2462747
158	0.3274440467	1.245502656
159	0.3287810082	1.244743596
160	0.3297656521	1.243993756
161	0.3299590643	1.243310116
162	0.3318192858	1.24255223
163	0.3329888912	1.241648448
164	0.3329072026	1.24105873
165	0.3347729105	1.240398236
166	0.3337086716	1.239664483
167	0.3335508333	1.238885212
168	0.3357634305	1.237827925
169	0.3353618369	1.237105755
170	0.3348010672	1.236536935
171	0.3359895097	1.235746376
172	0.3366063867	1.235077816
173	0.3364318701	1.234405006
174	0.3369288253	1.233614574
175	0.3370045807	1.232999017
176	0.3380122605	1.232412351
177	0.3392041286	1.231630306
178	0.3397726658	1.231103636
179	0.3409198086	1.230496461
180	0.3417754429	1.229980564
181	0.3416382318	1.229458918
182	0.3418164454	1.228912929
183	0.3428857567	1.228061269
184	0.3432373327	1.227246207
185	0.3427840642	1.22639054
186	0.3433933507	1.225655905
187	0.3448851879	1.224799739
188	0.3447295901	1.224165079
189	0.3450148284	1.223568214
190	0.3471862284	1.223018237
191	0.3483331379	1.222499968
192	0.3493567506	1.221835374
193	0.3502216231	1.221463235
194	0.3511274036	1.220963319
195	0.3512572431	1.22051179
196	0.351724708	1.220105626
197	0.3530186387	1.219212585
198	0.354019955	1.218264327
199	0.3541741453	1.217421688
200	0.3560349757	1.216453022
