iter	Passed	Remaining
0	164	163931
1	179	89388
2	191	63534
3	203	50632
4	213	42552
5	222	36898
6	231	32890
7	239	29712
8	247	27285
9	255	25324
10	263	23662
11	270	22297
12	278	21153
13	286	20150
14	293	19290
15	300	18484
16	308	17822
17	315	17216
18	323	16705
19	330	16211
20	340	15878
21	348	15483
22	355	15105
23	362	14748
24	370	14455
25	377	14159
26	386	13923
27	393	13657
28	401	13441
29	408	13221
30	416	13007
31	429	12993
32	439	12874
33	448	12748
34	458	12630
35	466	12480
36	473	12328
37	481	12187
38	488	12042
39	496	11904
40	503	11776
41	510	11646
42	517	11522
43	525	11408
44	532	11302
45	540	11211
46	548	11111
47	555	11011
48	562	10910
49	569	10813
50	576	10723
51	583	10632
52	590	10543
53	597	10467
54	605	10395
55	612	10324
56	620	10267
57	627	10191
58	635	10134
59	642	10060
60	649	10002
61	656	9928
62	663	9871
63	671	9824
64	679	9767
65	686	9721
66	694	9671
67	701	9620
68	709	9576
69	716	9522
70	723	9470
71	731	9424
72	737	9366
73	744	9317
74	752	9276
75	766	9323
76	775	9293
77	784	9278
78	792	9239
79	799	9198
80	807	9165
81	815	9130
82	823	9095
83	831	9064
84	838	9031
85	846	8995
86	855	8972
87	862	8942
88	870	8913
89	878	8884
90	885	8846
91	893	8820
92	900	8786
93	908	8755
94	915	8723
95	922	8690
96	930	8658
97	937	8626
98	945	8600
99	952	8571
100	960	8549
101	967	8519
102	975	8493
103	982	8468
104	990	8441
105	998	8423
106	1006	8399
107	1014	8379
108	1021	8352
109	1028	8325
110	1036	8299
111	1043	8270
112	1051	8252
113	1059	8232
114	1066	8210
115	1074	8188
116	1081	8164
117	1089	8142
118	1096	8116
119	1103	8091
120	1110	8066
121	1118	8050
122	1127	8037
123	1134	8017
124	1141	7991
125	1148	7969
126	1156	7949
127	1164	7934
128	1172	7914
129	1179	7894
130	1186	7871
131	1194	7851
132	1201	7832
133	1209	7813
134	1217	7800
135	1225	7785
136	1232	7766
137	1240	7750
138	1248	7735
139	1256	7716
140	1263	7697
141	1270	7676
142	1277	7656
143	1285	7639
144	1291	7616
145	1299	7601
146	1307	7585
147	1314	7568
148	1321	7549
149	1328	7528
150	1336	7513
151	1344	7498
152	1351	7481
153	1358	7464
154	1365	7446
155	1373	7430
156	1402	7529
157	1413	7531
158	1424	7533
159	1435	7535
160	1446	7537
161	1455	7527
162	1463	7514
163	1470	7497
164	1478	7481
165	1485	7465
